chrom	start	end	E1	E2	E3
chr1	0	50000			
chr1	50000	100000			
chr1	100000	150000			
chr1	150000	200000			
chr1	200000	250000			
chr1	250000	300000			
chr1	300000	350000			
chr1	350000	400000			
chr1	400000	450000			
chr1	450000	500000			
chr1	500000	550000			
chr1	550000	600000			
chr1	600000	650000			
chr1	650000	700000			
chr1	700000	750000			
chr1	750000	800000			
chr1	800000	850000	0.9277251368931176	0.4914173029000139	-0.02633980574460926
chr1	850000	900000	0.9740507627670272	0.36672740908412593	0.022188734334903103
chr1	900000	950000	1.0068231760866968	0.5310694538714534	-0.1785913986765575
chr1	950000	1000000	0.8788521868130127	0.5385088096547015	-0.2623055574865688
chr1	1000000	1050000	0.8055053797662147	0.419268221643533	-0.1906205433335523
chr1	1050000	1100000	0.7355137351917034	0.37698151720626605	-0.2617868327206004
chr1	1100000	1150000	0.975934944115002	0.49823794996526044	-0.19641719757099776
chr1	1150000	1200000	1.0332117492793265	0.5831285978772882	-0.1403057987287067
chr1	1200000	1250000	0.9412871916147276	0.5514840761981552	-0.2571001025060973
chr1	1250000	1300000	0.7906610151908702	0.5420030356239474	-0.239131613817442
chr1	1300000	1350000	0.7456973137289218	0.5872531765835712	-0.3748314306754399
chr1	1350000	1400000	0.7418143415161959	0.6654817135720331	-0.3609478445594407
chr1	1400000	1450000	0.8269099363140471	0.4988567672764497	-0.269238425828147
chr1	1450000	1500000	0.7016519663322447	0.524226849852416	-0.28190407201057566
chr1	1500000	1550000	0.8003162439975008	0.45858688466644354	-0.294471414594262
chr1	1550000	1600000	0.686118166462431	0.4162925829249026	-0.1829652672929299
chr1	1600000	1650000	0.9354268029533632	0.37156475907635983	-0.13170040583996387
chr1	1650000	1700000	0.8118771828867161	0.4257352909210546	-0.21447810783033305
chr1	1700000	1750000	0.7107089835712185	0.34355131332385364	-0.16890557667797873
chr1	1750000	1800000	0.8353872380304866	0.30631375964607904	0.015329965590113072
chr1	1800000	1850000	1.0192475353405226	0.4168390468896719	0.01801382342191982
chr1	1850000	1900000	0.9652315961069666	0.3710201558477701	0.02803484202491201
chr1	1900000	1950000	0.9011806646192798	0.30388086696466865	0.03844167427022092
chr1	1950000	2000000	0.9101986583224997	0.22879518787986292	0.12451022028089144
chr1	2000000	2050000	0.9698894687638097	0.22699789173938906	0.2846152112828795
chr1	2050000	2100000	0.9753671015511138	0.27802942493008703	0.247365647989972
chr1	2100000	2150000	0.8941206000451672	0.2621573374130114	0.20091023334283725
chr1	2150000	2200000	0.8060790309893994	0.3534099806529887	0.13087821452857804
